1	8450	2003	2003	856	856	854	2	1	3	Attchd	548	2008	208500
2	9600	1976	1976	1262	1262	0	2	0	3	Attchd	460	2007	181500
3	11250	2001	2002	920	920	866	2	1	3	Attchd	608	2008	223500
4	9550	1915	1970	756	961	756	1	0	3	Detchd	642	2006	140000
5	14260	2000	2000	1145	1145	1053	2	1	4	Attchd	836	2008	250000
6	14115	1993	1995	796	796	566	1	1	1	Attchd	480	2009	143000
7	10084	2004	2005	1686	1694	0	2	0	3	Attchd	636	2007	307000
8	10382	1973	1973	1107	1107	983	2	1	3	Attchd	484	2009	200000
9	6120	1931	1950	952	1022	752	2	0	2	Detchd	468	2008	129900
10	7420	1939	1950	991	1077	0	1	0	2	Attchd	205	2008	118000
11	11200	1965	1965	1040	1040	0	1	0	3	Detchd	384	2008	129500
13	12968	1962	1962	912	912	0	1	0	2	Detchd	352	2008	144000
14	10652	2006	2007	1494	1494	0	2	0	3	Attchd	840	2007	279500
15	10920	1960	1960	1253	1253	0	1	1	2	Attchd	352	2008	157000
16	6120	1929	2001	832	854	0	1	0	2	Detchd	576	2007	132000
17	11241	1970	1970	1004	1004	0	1	0	2	Attchd	480	2010	149000
19	13695	2004	2004	1114	1114	0	1	1	3	Detchd	576	2008	159000
20	7560	1958	1965	1029	1339	0	1	0	3	Attchd	294	2009	139000
22	7449	1930	1950	637	1108	0	1	0	3	Attchd	280	2007	139400
23	9742	2002	2002	1777	1795	0	2	0	3	Attchd	534	2008	230000
24	4224	1976	1976	1040	1060	0	1	0	3	Attchd	572	2007	129900
25	8246	1968	2001	1060	1060	0	1	0	3	Attchd	270	2010	154000
26	14230	2007	2007	1566	1600	0	2	0	3	Attchd	890	2009	256300
27	7200	1951	2000	900	900	0	1	0	3	Detchd	576	2010	134800
28	11478	2007	2008	1704	1704	0	2	0	3	Attchd	772	2010	306000
29	16321	1957	1997	1484	1600	0	1	0	2	Attchd	319	2006	207500
30	6324	1927	1950	520	520	0	1	0	1	Detchd	240	2008	68500
